X,Y,Name,description,ADDRESSBLOCKHOUSENUMBER,ADDRESSBUILDINGNAME,ADDRESSFLOORNUMBER,ADDRESSPOSTALCODE,ADDRESSSTREETNAME,ADDRESSTYPE,DESCRIPTION2,HYPERLINK,LANDXADDRESSPOINT,LANDYADDRESSPOINT,NAME2,PHOTOURL,INC_CRC,FMEL_UPD_D,ADDRESSUNITNUMBER
103.821562408077,1.44675733991225,PCF SPARKLETOTS PRESCHOOL @ GAMBAS Blk 309 (KN),Kindergartens,,,,750309,308309 309 Canberra  Road #01-109,,,,0,0,,,A3AE872380C5B66D,20170807175647,
103.820429169598,1.4459422913298,PCF SPARKLETOTS PRESCHOOL @ GAMBAS Blk 317 (KN),Kindergartens,,,,750317,317 Sembawang Vista #01-211,,,,0,0,,,9C4583B2B638C465,20170807175647,
103.848427509133,1.42625360262594,PCF SPARKLETOTS PRESCHOOL @ GAMBAS Blk 408 (KN),Kindergartens,,,,760408,408 Yishun Avenue 6 #01-1264,,,,0,0,,,ED75C5D5A174E159,20170807175647,
103.904424351083,1.32180029274141,PCF SPARKLETOTS PRESCHOOL @ GEYLANG SERAI Blk 11 (KN),Kindergartens,,,,400011,11 Eunos Cresent #01-2737,,,,0,0,,,C4652291CC1D2DDE,20170807175647,
103.879853824045,1.3360736459296,PCF SPARKLETOTS PRESCHOOL @ GEYLANG SERAI Blk 14 (KN),Kindergartens,,,,360014,1514 Joo Seng Road #01-103,,,,0,0,,,8B04568DA7C5FD96,20170807175647,
103.822781828395,1.28488705352685,PCF SPARKLETOTS PRESCHOOL @ HENDERSON-DAWSON Blk 124A (KN),Kindergartens,,,,151124,124A Bukit Merah View #01-406,,,,0,0,,,259DC918A624B781,20170807175647,
103.704411153052,1.3534476553688,PCF SPARKLETOTS PRESCHOOL @ HONG KAH NORTH  Blk 276D (KN),Kindergartens,,,,644276,276D Jurong West Street 25 #01-11,,,,0,0,,,088CA1938A1AE2B1,20170807175647,
103.746516665605,1.3613950798649,PCF SPARKLETOTS PRESCHOOL @ HONG KAH NORTH  Blk 319 (KN),Kindergartens,,,,650319,315 319 Bukit Batok Street 33 #01-40,,,,0,0,,,205ED26925C167FC,20170807175647,
103.750672676322,1.36353416926797,PCF SPARKLETOTS PRESCHOOL @ HONG KAH NORTH  Blk 338 (KN),Kindergartens,,,,650338,338 Bukit Batok Street 34 #01-338,,,,0,0,,,C4D619C5594A9337,20170807175647,
103.699191895947,1.3479371095215,PCF SPARKLETOTS PRESCHOOL @ HONG KAH NORTH  Blk 750 (KN),Kindergartens,,,,640750,749750 Jurong West Street 73 #01-169,,,,0,0,,,58B0EB7CEA01EBF4,20170807175647,
103.896534515318,1.36874824593674,PCF SPARKLETOTS PRESCHOOL @ HOUGANG Blk 328 (DS),Kindergartens,,,,530328,328 Hougang Avenue 5 #01-196,,,,0,0,,,56FE5228D633B367,20170807175647,
103.874102228398,1.37164172892946,PCF SPARKLETOTS PRESCHOOL @ JALAN KAYU Blk 518 (KN),Kindergartens,,,,550518,518 Serangoon North Avenue 4 #01-218,,,,0,0,,,BD8BC562EA75A1AE,20170807175647,
103.857625381458,1.37203234843133,PCF SPARKLETOTS PRESCHOOL @ JALAN KAYU Blk 556 (KN),Kindergartens,,,,560556,556 Ang Mo Kio Avenue 10 #01-1902,,,,0,0,,,56B85905DE92ABCC,20170807175647,
103.878283922894,1.37939224175356,PCF SPARKLETOTS PRESCHOOL @ JALAN KAYU Blk 987B (DS),Kindergartens,,,,532987,987B Buangkok Green #01-33,,,,0,0,,,229A556777022049,20170807175647,
103.727240375494,1.34958658820685,PCF SPARKLETOTS PRESCHOOL @ JURONG CENTRAL Blk 490 (KN),Kindergartens,,,,640490,490 Jurong West Avenue 1 #01-01,,,,0,0,,,14A53B3431647A0B,20170807175647,
103.953599087705,1.37714073427957,ACES Montessori Kidz Kindergarten,Kindergartens,,,,519599,Pasir Ris NTUC Resort 1 Pasir Ris Close #01-07A,,,,0,0,,,2D3F74CA9F0D4D28,20170807175647,
103.960042189056,1.35436493617485,Al - Amin Pre-School,Kindergartens,,,,529287,9 Tampines Street 32 #02-01,,,,0,0,,,A5B097A238EAA2EF,20170807175647,
103.946510454249,1.37276904719716,Al - Amin Preschool (Pasir Ris),Kindergartens,,,,510570,570 Pasir Ris Street 53 #01-64,,,,0,0,,,563BA2F1CC789633,20170807175647,
103.699193660892,1.34729336849645,Al-Nasry @ Jurong West Kindergarten,Kindergartens,,,,640743,743 Jurong West Street 73 #B1-03,,,,0,0,,,6E3239501C0F0357,20170807175647,
103.890373625995,1.37880333701103,Al-Nasry @ Sengkang South,Kindergartens,,,,530552,552 Hougang Street 51 #B1-296,,,,0,0,,,69A8E25D6BFCDD93,20170807175647,
103.831882706488,1.2834525352361,Artskidz Preschool,Kindergartens,,,,169715,Tiong Bahru Community Centre 67A Eu Chin Street Level 2,,,,0,0,,,EE9F6B79DEB96C44,20170807175647,
103.875389838417,1.37792345234583,Banyan Tree Education @ AMK PTE. LTD.,Kindergartens,,,,569880,Northstar@AMK 7030 Ang Mo Kio Ave 5 #01-45,,,,0,0,,,53490A27ED27E2E2,20170807175647,
103.834489499093,1.31918222303192,Barker Road Methodist Church Kindergarten,Kindergartens,,,,309936,70 Barker Road #01-01,,,,0,0,,,7367A4F1F267734E,20170807175647,
103.886672786663,1.32176644586798,Bethel Kinderlites,Kindergartens,,,,380114,114 Aljunied Avenue 2 #03-75,,,,0,0,,,618DDF0CBF959B22,20170807175647,
103.810676168654,1.32313886375113,Bibinogs Preschool K.A.,Kindergartens,,,,269695,559 Bukit Timah Road #B1-01,,,,0,0,,,760981189B32CA03,20170807175647,
103.891524298582,1.35916574851719,Brainy Bunch International Montessori,Kindergartens,,,,530247,247 Hougang Avenue 3 #01-452,,,,0,0,,,44CDC7373E903308,20170807175647,
103.964113181224,1.36484626324104,Brainy Bunch International Montessori (Pasir Ris),Kindergartens,,,,510273,273 Pasir Ris Street 21 #01-498,,,,0,0,,,5CB84BAE23018D42,20170807175647,
103.940884210817,1.35638868685459,British Council (Singapore) Pre-school,Kindergartens,,,,528729,11 Tampines Concourse #01-02/03/04,,,,0,0,,,152D27EA83E3D3A3,20170807175647,
103.767936365701,1.36190360658028,Bukit Panjang Methodist Church Kindergarten,Kindergartens,,,,678099,John Wesley Centre 496 Upper Bukit Timah Road,,,,0,0,,,1604332F408B344A,20170807175647,
103.771129084146,1.29153715079906,Buttercups Kindergarten (Pasir Panjang),Kindergartens,,,,118733,396 Pasir Panjang Road #02-01,,,,0,0,,,3794F0E54DFF89AC,20170807175647,
103.788347379411,1.30535121506496,Buttercups Kindergarten (Rochester),Kindergartens,,,,138639,The Rochester 35 Rochester Drive #03-11,,,,0,0,,,CDE4C99E168D7F18,20170807175647,
103.8459629096,1.3576084550777,Callidus Preschool,Kindergartens,,,,570229,229 Bishan Street 23 #B1-53,,,,0,0,,,E405A491D22EF470,20170807175647,
103.87781407803,1.34138865160895,Catholic Kindergarten,Kindergartens,,,,368051,Maris Stella Secondary High School 25 Mount Vernon Rd,,,,0,0,,,34ED2C7C1EC8F43B,20170807175647,
103.933043781842,1.36001176721697,Cavenur Kindergarten,Kindergartens,,,,520741,741 Tampines Street 72 #01-74,,,,0,0,,,BBA4D04FA4740955,20170807175647,
103.906371614962,1.39950941959693,Cedan Kindergarten,Kindergartens,,,,820198,198 Punggol Field #02-02,,,,0,0,,,16B0DFC5A1E22C71,20170807175647,
103.947573704,1.33181496984054,Chatsworth Kindergarten (Bedok),Kindergartens,,,,469538,Simpang Bedok Post Office 350 Bedok Road,,,,0,0,,,75F261121DBF23AF,20170807175647,
103.788347379411,1.30535121506496,Chengzhu Mandarin Kindergarten,Kindergartens,,,,138639,The Rochester 35 Rochester Drive #03-01/02/03/04/05/27,,,,0,0,,,CDE4C99E978ABB76,20170807175647,
103.765810204517,1.30287178501413,Clementi Woods Kindergarten LLP,Kindergartens,,,,127370,152 West Coast Road,,,,0,0,,,3FA453256F7453D0,20170807175647,
103.772116406684,1.34117840039053,Creative Thinkers Kindergarten,Kindergartens,,,,598606,110 Jalan Jurong Kechil #01-02/03/04,,,,0,0,,,D173F25B2A0B2600,20170807175647,
103.962434469836,1.35501778659978,Creative Twinkles Preschool,Kindergartens,,,,520354,354 Tampines Street 33 #01-530,,,,0,0,,,919D8E498ADA3C8D,20170807175647,
103.73893180394,1.37805613765446,Kinderland  Kindergarten (Choa Chu Kang),Kindergartens,,,,680475,475 Choa Chu Kang Avenue 3 #02-15,,,,0,0,,,B55F09E3A55A61DF,20170807175647,
103.78661961568,1.43507789397688,Kinderland Kindergarten (Woodlands),Kindergartens,,,,730900,Woodlands Civic Centre 900 South Woodlands Drive #05-10,,,,0,0,,,6E838EA7E52EEE7C,20170807175647,
103.793256122878,1.33879672516072,Kizroo Kindergarten,Kindergartens,,,,287994,The Grandstand 200 Turf Club Road #06-03,,,,0,0,,,48B40C39D733CF87,20170807175647,
103.828762985206,1.43061828496815,Little Leader Kindergarten,Kindergartens,,,,760102,102 Yishun Avenue 5 #04-115,,,,0,0,,,502E5588448D2A4E,20170807175647,
103.919245737503,1.31565625475484,LittleSparks Montessori Kindergarten,Kindergartens,,,,456192,Bowmont Centre 20 Siglap Drive #01-06,,,,0,0,,,1914E24BAE560764,20170807175647,
103.891400633109,1.35598783752383,Living Sanctuary Kindergarten,Kindergartens,,,,538728,Bethesda Ground 2 Hougang Street 22,,,,0,0,,,71EC43D5810B2BD2,20170807175647,
103.953359372707,1.36092283634374,Mahad Al - Nasry Kindergarten,Kindergartens,,,,520476,476 Tampines Street 44 #01-179,,,,0,0,,,23391D86D2F14464,20170807175647,
103.745553846171,1.38510079794847,Metamorphosis Kindergarten,Kindergartens,,,,680309,309 Choa Chu Kang Avenue 4 #04-07,,,,0,0,,,24228EFF4215A0C1,20170807175647,
103.887832026894,1.37924528806957,Monte Kidz World (Hougang),Kindergartens,,,,538719,21 Hougang Street 51 #02-14,,,,0,0,,,66FF1CEE547537D5,20170807175647,
103.941978177656,1.37860238037502,Monte Kidz World (Pasir Ris),Kindergartens,,,,510625,625 Elias Road #02-330,,,,0,0,,,5FF712EF6C50B72F,20170807175647,
103.871416983339,1.37368392879253,MRC Kindergarten (Serangoon North),Kindergartens,,,,552542,542B Serangoon North Avenue 3 #01-03,,,,0,0,,,ADD3BD29FFCC6FEA,20170807175647,
103.83524899074,1.41624343583986,MRC Kindergarten (Yishun South),Kindergartens,,,,760848,848 Yishun Street 81 #01-150,,,,0,0,,,0A225E80245EA5C4,20170807175647,
103.836623076078,1.39159864915354,My Montessori Preschool @ Bullion,Kindergartens,,,,789100,Bullion Park 172 Lentor Loop #02-01,,,,0,0,,,112952B7DF5E44C0,20170807175647,
103.925260000788,1.30738621952786,My Prep School,Kindergartens,,,,448910,Mandarin Gardens Condominium 9 Siglap Road,,,,0,0,,,CA31D3461A59F3EA,20170807175647,
103.808254903828,1.27362999746203,Nanyang Children School,Kindergartens,,,,102078,78B Telok Blangah Street 32 #02-17,,,,0,0,,,4FA4F8C08F894114,20170807175647,
103.925744921544,1.33663362429966,Paper Scissors Stone Montessori Kindergarten (Bedok Reservoir Branch),Kindergartens,,,,470718,718 Bedok Reservoir Road #01-4590,,,,0,0,,,655476B6D60CBD3F,20170807175647,
103.792006998979,1.43292523592663,PCF SPARKLETOTS PRESCHOOL @ ADMIRALTY Blk 501 (KN),Kindergartens,,,,730501,501 Woodlands Drive 14 #01-52,,,,0,0,,,7797A45AA82BDCC7,20170807175647,
103.796403905781,1.42989029973982,PCF SPARKLETOTS PRESCHOOL @ ADMIRALTY Blk 581 (KN),Kindergartens,,,,730581,581 Woodlands Drive 16 #01-486,,,,0,0,,,83E6E5799EA31494,20170807175647,
